name	description	page
1	ensembl_gene_id	Gene stable ID	feature_page
2	ensembl_gene_id_version	Gene stable ID version	feature_page
3	ensembl_transcript_id	Transcript stable ID	feature_page
4	ensembl_transcript_id_version	Transcript stable ID version	feature_page
5	ensembl_peptide_id	Protein stable ID	feature_page
6	ensembl_peptide_id_version	Protein stable ID version	feature_page
7	ensembl_exon_id	Exon stable ID	feature_page
8	description	Gene description	feature_page
9	chromosome_name	Chromosome/scaffold name	feature_page
10	start_position	Gene start (bp)	feature_page
11	end_position	Gene end (bp)	feature_page
12	strand	Strand	feature_page
13	band	Karyotype band	feature_page
14	transcript_start	Transcript start (bp)	feature_page
15	transcript_end	Transcript end (bp)	feature_page
16	transcription_start_site	Transcription start site (TSS)	feature_page
17	transcript_length	Transcript length (including UTRs and CDS)	feature_page
18	external_gene_name	Gene name	feature_page
19	external_gene_source	Source of gene name	feature_page
20	external_transcript_name	Transcript name	feature_page
21	external_transcript_source_name	Source of transcript name	feature_page
22	transcript_count	Transcript count	feature_page
23	percentage_gene_gc_content	Gene % GC content	feature_page
24	gene_biotype	Gene type	feature_page
25	transcript_biotype	Transcript type	feature_page
26	source	Source (gene)	feature_page
27	transcript_source	Source (transcript)	feature_page
28	version	Version (gene)	feature_page
29	transcript_version	Version (transcript)	feature_page
30	peptide_version	Version (protein)	feature_page
31	external_synonym	Gene Synonym	feature_page
32	go_id	GO term accession	feature_page
33	name_1006	GO term name	feature_page
34	definition_1006	GO term definition	feature_page
35	go_linkage_type	GO term evidence code	feature_page
36	namespace_1003	GO domain	feature_page
37	goslim_goa_accession	GOSlim GOA Accession(s)	feature_page
38	goslim_goa_description	GOSlim GOA Description	feature_page
39	chembl	ChEMBL ID	feature_page
40	entrezgene_trans_name	EntrezGene transcript name ID	feature_page
41	embl	European Nucleotide Archive ID	feature_page
42	hgnc_id	HGNC ID	feature_page
43	hgnc_symbol	HGNC symbol	feature_page
44	protein_id	INSDC protein ID	feature_page
45	kegg_enzyme	KEGG Pathway and Enzyme ID	feature_page
46	merops	MEROPS - the Peptidase Database ID	feature_page
47	entrezgene_description	NCBI gene (formerly Entrezgene) description	feature_page
48	entrezgene_accession	NCBI gene (formerly Entrezgene) accession	feature_page
49	entrezgene_id	NCBI gene (formerly Entrezgene) ID	feature_page
50	refseq_mrna	RefSeq mRNA ID	feature_page
51	refseq_mrna_predicted	RefSeq mRNA predicted ID	feature_page
52	refseq_ncrna_predicted	RefSeq ncRNA predicted ID	feature_page
53	refseq_peptide	RefSeq peptide ID	feature_page
54	refseq_peptide_predicted	RefSeq peptide predicted ID	feature_page
55	rfam	RFAM ID	feature_page
56	rfam_trans_name	RFAM transcript name ID	feature_page
57	rnacentral	RNAcentral ID	feature_page
58	hgnc_trans_name	Transcript name ID	feature_page
59	uniparc	UniParc ID	feature_page
60	uniprot_gn_trans_name	UniProt transcript name ID	feature_page
61	uniprot_gn_symbol	UniProtKB Gene Name symbol	feature_page
62	uniprot_gn_id	UniProtKB Gene Name ID	feature_page
63	uniprot_isoform	UniProtKB isoform ID	feature_page
64	uniprotswissprot	UniProtKB/Swiss-Prot ID	feature_page
65	uniprotsptrembl	UniProtKB/TrEMBL ID	feature_page
66	vgnc	VGNC ID	feature_page
67	vgnc_trans_name	VGNC transcript name ID	feature_page
68	wikigene_description	WikiGene description	feature_page
69	wikigene_name	WikiGene name	feature_page
70	wikigene_id	WikiGene ID	feature_page
71	cdd	CDD ID	feature_page
72	cdd_start	CDD start	feature_page
73	cdd_end	CDD end	feature_page
74	gene3d	Gene3D ID	feature_page
75	gene3d_start	Gene3D start	feature_page
76	gene3d_end	Gene3D end	feature_page
77	hamap	HAMAP ID	feature_page
78	hamap_start	HAMAP start	feature_page
79	hamap_end	HAMAP end	feature_page
80	hmmpanther	PANTHER ID	feature_page
81	hmmpanther_start	PANTHER start	feature_page
82	hmmpanther_end	PANTHER end	feature_page
83	pfam	Pfam ID	feature_page
84	pfam_start	Pfam start	feature_page
85	pfam_end	Pfam end	feature_page
86	pirsf	PIRSF ID	feature_page
87	pirsf_start	PIRSF start	feature_page
88	pirsf_end	PIRSF end	feature_page
89	prints	Prints ID	feature_page
90	prints_start	Prints start	feature_page
91	prints_end	Prints end	feature_page
92	scanprosite	PROSITE patterns ID	feature_page
93	scanprosite_start	PROSITE patterns start	feature_page
94	scanprosite_end	PROSITE patterns end	feature_page
95	pfscan	PROSITE profiles ID	feature_page
96	pfscan_start	PROSITE profiles start	feature_page
97	pfscan_end	PROSITE profiles end	feature_page
98	sfld	SFLD ID	feature_page
99	sfld_start	SFLD start	feature_page
100	sfld_end	SFLD end	feature_page
101	smart	SMART ID	feature_page
102	smart_start	SMART start	feature_page
103	smart_end	SMART end	feature_page
104	superfamily	Superfamily ID	feature_page
105	superfamily_start	Superfamily start	feature_page
106	superfamily_end	Superfamily end	feature_page
107	tigrfam	TIGRFAM ID	feature_page
108	tigrfam_start	TIGRFAM start	feature_page
109	tigrfam_end	TIGRFAM end	feature_page
110	interpro	Interpro ID	feature_page
111	interpro_short_description	Interpro Short Description	feature_page
112	interpro_description	Interpro Description	feature_page
113	interpro_start	Interpro start	feature_page
114	interpro_end	Interpro end	feature_page
115	mobidblite	MobiDB lite	feature_page
116	mobidblite_start	MobiDB lite start	feature_page
117	mobidblite_end	MobiDB lite end	feature_page
118	ncoils	Coiled-coils (Ncoils)	feature_page
119	ncoils_start	Coiled-coils (Ncoils) start	feature_page
120	ncoils_end	Coiled-coils (Ncoils) end	feature_page
121	seg	Low complexity (Seg)	feature_page
122	seg_start	Low complexity (Seg) start	feature_page
123	seg_end	Low complexity (Seg) end	feature_page
124	signalp	Cleavage site (Signalp)	feature_page
125	signalp_start	Cleavage site (Signalp) start	feature_page
126	signalp_end	Cleavage site (Signalp) end	feature_page
127	tmhmm	Transmembrane helices	feature_page
128	tmhmm_start	Transmembrane helices start	feature_page
129	tmhmm_end	Transmembrane helices end	feature_page
130	ensembl_gene_id	Gene stable ID	structure
131	ensembl_gene_id_version	Gene stable ID version	structure
132	version	Version (gene)	structure
133	ensembl_transcript_id	Transcript stable ID	structure
134	ensembl_transcript_id_version	Transcript stable ID version	structure
135	transcript_version	Version (transcript)	structure
136	ensembl_peptide_id	Protein stable ID	structure
137	ensembl_peptide_id_version	Protein stable ID version	structure
138	peptide_version	Version (protein)	structure
139	chromosome_name	Chromosome/scaffold name	structure
140	start_position	Gene start (bp)	structure
141	end_position	Gene end (bp)	structure
142	transcript_start	Transcript start (bp)	structure
143	transcript_end	Transcript end (bp)	structure
144	transcription_start_site	Transcription start site (TSS)	structure
145	transcript_length	Transcript length (including UTRs and CDS)	structure
146	strand	Strand	structure
147	external_gene_name	Gene name	structure
148	external_gene_source	Source of gene name	structure
149	5_utr_start	5' UTR start	structure
150	5_utr_end	5' UTR end	structure
151	3_utr_start	3' UTR start	structure
152	3_utr_end	3' UTR end	structure
153	cds_length	CDS Length	structure
154	transcript_count	Transcript count	structure
155	description	Gene description	structure
156	gene_biotype	Gene type	structure
157	exon_chrom_start	Exon region start (bp)	structure
158	exon_chrom_end	Exon region end (bp)	structure
159	is_constitutive	Constitutive exon	structure
160	rank	Exon rank in transcript	structure
161	phase	Start phase	structure
162	end_phase	End phase	structure
163	cdna_coding_start	cDNA coding start	structure
164	cdna_coding_end	cDNA coding end	structure
165	genomic_coding_start	Genomic coding start	structure
166	genomic_coding_end	Genomic coding end	structure
167	ensembl_exon_id	Exon stable ID	structure
168	cds_start	CDS start	structure
169	cds_end	CDS end	structure
170	ensembl_gene_id	Gene stable ID	homologs
171	ensembl_gene_id_version	Gene stable ID version	homologs
172	version	Version (gene)	homologs
173	ensembl_transcript_id	Transcript stable ID	homologs
